"","Name","pos","Team","Gm","season","Age","Salary","AAV","HIT","HIT-","A1","A2","SH","MS","BK","AB","GV","TK","PN","PN-","PenD60","TOI","TOIoff","TOI%"
"stamkst9020122013","Steven.Stamkos","CR","T.B",48,20122013,22,"8.000","7.500",2,13,5,3,33,20,16,1,8,4,1,0,-0.33,179.88,83.92,68.19
"stantry8920122013","Ryan.Stanton","D","CHI",1,20122013,23,"0.595","0.593",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,4.13,0
"stastpa8520122013","Paul.Stastny","C","COL",40,20122013,26,"6.600","6.600",0,2,2,6,13,6,5,0,3,1,1,0,-0.58,103.81,79.55,56.62
"staubbr8420122013","Brad.Staubitz","R","ANA",14,20122013,28,"0.625","0.637",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,68.54,0
"steckda8220122013","David.Steckel","C","ANA/TOR",33,20122013,30,"1.100","1.100",1,0,0,0,1,0,0,0,0,0,0,0,0,2.57,154.19,1.64
"steenal8420122013","Alex.Steen","LC","STL",40,20122013,28,"3.567","3.363",2,1,3,3,30,17,16,3,3,1,1,1,0,101.81,102.93,49.73
"stemple8320122013","Lee.Stempniak","R","CGY",46,20122013,29,"2.250","2.500",3,2,0,1,9,5,1,0,1,1,2,1,-0.76,78.88,164.45,32.42
"stepade9020122013","Derek.Stepan","C","NYR",48,20122013,22,"0.875","0.821",3,5,2,4,5,2,8,0,8,1,1,0,-0.44,136.78,113.63,54.62
"stewach8720122013","Chris.Stewart","R","STL",48,20122013,24,"3.000","3.000",1,2,4,2,11,8,7,0,3,1,1,0,-0.56,107.68,133.68,44.61
"stlouma7520122013","Martin.St..Louis","C","T.B",48,20122013,37,"NA","NA",3,4,6,10,21,10,8,2,8,2,2,2,0,174.2,89.6,66.03
"stollja8220122013","Jarret.Stoll","C","L.A",48,20122013,30,"3.250","3.250",2,6,1,3,14,3,6,1,0,1,5,1,-2.92,82.08,162.11,33.61
"stonecl8520122013","Clayton.Stoner","D","MIN",46,20122013,27,"1.000","1.050",0,0,0,0,0,0,0,0,0,0,0,0,0,2.25,249.65,0.89
"stonema9220122013","Mark.Stone","R","OTT",4,20122013,20,"0.605","0.603",0,0,0,0,0,0,0,0,0,1,0,0,0,1.48,13.28,10
"stonemi9020122013","Michael.Stone","D","PHX",39,20122013,22,"0.575","0.592",2,0,1,0,5,2,4,1,1,0,1,0,-1.37,43.66,163.59,21.07
"stracty8420122013","Tyson.Strachan","D","FLA",37,20122013,27,"0.600","0.600",0,0,0,0,1,0,0,0,0,0,1,0,-17.14,3.5,170.36,2.01
"straibr8820122013","Brian.Strait","D","NYI",19,20122013,24,"0.605","0.605",0,0,0,0,0,0,0,0,0,0,0,0,0,1.31,109.32,1.18
"stralan8620122013","Anton.Stralman","D","NYR",48,20122013,26,"1.600","1.700",0,1,0,0,8,2,4,0,0,0,0,1,1.33,45.1,205.32,18.01
"streebe8720122013","Ben.Street","C","CGY",5,20122013,25,"0.550","0.575",0,0,0,0,0,0,0,0,0,0,0,0,0,2.24,19.98,10.09
"streima7720122013","Mark.Streit","D","NYI",45,20122013,34,"4.100","4.100",1,5,4,4,33,16,36,6,2,3,0,0,0,175.29,56.21,75.72
"stuarbr7920122013","Brad.Stuart","D","S.J",46,20122013,32,"3.600","3.600",0,0,0,0,0,0,1,0,1,0,0,0,0,4.88,260.74,1.84
"stuarma8420122013","Mark.Stuart","D","WPG",41,20122013,28,"1.700","1.700",0,0,0,0,0,0,0,0,0,0,1,0,-79.12,0.76,201.47,0.37
"subbapk8920122013","P.K..Subban","D","MTL",42,20122013,23,"NA","NA",2,9,8,10,50,19,35,7,3,4,4,1,-0.92,196.53,77.17,71.8
"sullist7420122013","Steve.Sullivan","LR","N.J/PHX",41,20122013,38,"1.850","1.850",1,4,2,2,12,4,12,0,4,1,2,0,-1.05,114.53,123.41,48.13
"sulzeal8420122013","Alexander.Sulzer","D","BUF",17,20122013,28,"0.725","0.725",0,0,0,0,0,0,0,0,0,0,0,0,0,0.68,102.19,0.66
"summech8820122013","Chris.Summers","D","PHX",6,20122013,24,"0.803","0.803",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,42.23,0
"sustran9020122013","Andrej.Sustr","D","T.B",2,20122013,21,"0.925","0.925",0,0,0,0,0,0,0,0,1,0,0,0,0,0.6,9.97,5.67
"suterry8520122013","Ryan.Suter","D","MIN",46,20122013,27,"12.000","7.538",0,0,4,8,26,13,23,1,3,1,1,1,0,174.68,77.22,69.35
"suttebr8720122013","Brett.Sutter","CL","CAR",3,20122013,25,"0.550","0.550",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,14.93,0
"suttebr8920122013","Brandon.Sutter","C","PIT",47,20122013,23,"2.000","2.067",2,1,0,1,2,5,1,1,0,0,0,0,0,51.34,212.58,19.45
"talboma8420122013","Max.Talbot","C","PHI",35,20122013,28,"2.250","1.800",0,1,0,0,0,0,0,0,0,0,0,0,0,4.66,200.16,2.27
"tallihe7920122013","Henrik.Tallinder","D","N.J",25,20122013,33,"3.500","3.375",0,1,1,0,1,0,0,0,0,0,0,0,0,12.08,139.93,7.95
"tanevch8920122013","Christopher.Tanev","D","VAN",36,20122013,22,"0.900","0.900",0,0,0,0,1,0,1,0,0,0,0,0,0,4.32,216.5,1.95
"tangrer8920122013","Eric.Tangradi","L","PIT/WPG",40,20122013,23,"0.726","0.726",1,0,0,0,2,1,0,0,0,0,0,0,0,6.32,188.11,3.25
"tangual7920122013","Alex.Tanguay","LR","CGY",40,20122013,32,"3.500","3.500",1,4,4,2,7,3,4,3,10,0,1,0,-0.5,121.03,91.63,56.91
"taormma8620122013","Matt.Taormina","D","T.B",2,20122013,25,"0.700","0.700",1,1,0,0,0,0,0,0,0,0,0,0,0,1.53,6.14,19.98
"tarasvl9120122013","Vladimir.Tarasenko","R","STL",38,20122013,20,"0.900","0.900",1,2,2,0,7,5,5,0,0,0,0,1,0.88,68.49,123.47,35.68
"tardija8520122013","Jamie.Tardif","R","BOS",2,20122013,27,"0.600","0.600",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,8.32,0
