"","Name","pos","Team","Gm","season","Age","Salary","AAV","HIT","HIT-","A1","A2","SH","MS","BK","AB","GV","TK","PN","PN-","PenD60","TOI","TOIoff","TOI%"
"kostian8520112012","Andrei.Kostitsyn","LR","MTL/NSH",72,20112012,26,"3.250","3.250",106,75,9,10,99,34,61,9,37,20,11,7,-0.25,950.45,2459.41,27.87
"floodma8420112012","Mark.Flood","D","WPG",33,20112012,26,"0.525","0.525",9,26,1,2,17,19,17,36,8,2,4,1,-0.43,418.68,1135.18,26.94
"lupuljo8320112012","Joffrey.Lupul","LR","TOR",66,20112012,27,"4.250","4.250",93,119,15,9,126,51,64,25,30,22,16,14,-0.12,962.48,2215.97,30.28
"diazxra8620112012","Raphael.Diaz","D","MTL",59,20112012,25,"0.900","0.900",37,46,1,6,39,27,57,88,28,7,10,3,-0.5,838.31,1903.26,30.58
"nokelpe8620112012","Petteri.Nokelainen","CR","MTL/PHX",56,20112012,25,"0.550","0.550",44,46,4,0,33,13,16,10,6,4,4,3,-0.15,400.42,2141.59,15.75
"jovaned7620112012","Ed.Jovanovski","D","FLA",66,20112012,35,"4.000","4.125",60,88,4,3,44,19,34,63,31,12,10,6,-0.28,868.73,2290.33,27.5
"gunnaca8620112012","Carl.Gunnarsson","D","TOR",76,20112012,24,"1.400","1.325",91,149,3,6,59,28,61,114,55,25,6,8,0.09,1273.23,2403.28,34.63
"pominja8220112012","Jason.Pominville","R","BUF",82,20112012,28,"5.500","5.300",28,78,14,8,151,48,55,40,23,32,4,13,0.5,1087.57,2856.57,27.57
"brouwtr8520112012","Troy.Brouwer","R","WSH",82,20112012,26,"2.350","2.350",219,70,5,6,87,39,50,43,16,29,10,16,0.34,1061,2902.75,26.77
"stuarma8420112012","Mark.Stuart","D","WPG",80,20112012,27,"1.600","1.700",162,134,4,7,53,39,66,127,28,6,14,12,-0.11,1131.75,2680.22,29.69
"schulje8620112012","Jeff.Schultz","D","WSH",54,20112012,25,"2.500","2.750",42,46,3,0,21,12,25,49,29,9,5,1,-0.33,729.71,1879.99,27.96
"sbisalu9020112012","Luca.Sbisa","D","ANA",79,20112012,21,"1.200","2.175",170,169,6,9,64,41,60,75,29,18,12,7,-0.25,1203.28,2545.57,32.1
"palmini8920112012","Nick.Palmieri","R","MIN/N.J",38,20112012,22,"0.525","0.537",38,28,1,2,48,18,9,7,9,4,5,1,-0.64,376.43,1414.89,21.01
