Name,Year,Team,Number,NonAssistGoal,1stAssistGoal,2ndAssistGoal,1stAssist,2ndAssisted1stAssist,2ndAssist,NonAssistPlayers,1stAssistPlayers,2ndAssistPlayers
Nick Foligno,20142015,CBJ,71,0,5,25,1,21,20,4,6,21
Adam Henrique,20142015,N.J,14,2,3,11,2,14,11,3,2,14
Michael Ryder,20142015,N.J,17,1,1,4,1,8,4,1,3,7
Jordin Tootoo,20142015,N.J,22,0,2,4,1,9,3,2,8,16
Ryane Clowe,20142015,N.J,29,0,0,1,0,2,1,0,1,4
Cory Schneider,20142015,N.J,35,0,0,0,0,0,2,6,24,100
Vincent Lecavalier,20142015,PHI,40,1,1,6,1,8,3,1,2,9
Stephen Gionta,20142015,N.J,11,0,0,5,2,4,2,0,4,5
Bryce Salvador,20142015,N.J,24,0,0,0,0,2,0,0,1,3
Mark Streit,20142015,PHI,32,0,0,9,1,23,19,4,8,45
Dainius Zubrus,20142015,N.J,8,0,0,4,0,4,2,3,6,8
Brayden Schenn,20142015,PHI,10,1,1,16,1,20,8,0,1,33
Wayne Simmonds,20142015,PHI,17,0,1,27,3,8,11,4,1,26
Andy Greene,20142015,N.J,6,0,1,2,0,7,12,5,4,28
N.J,23,1,5,21,1,6,8,2,2,16
Patrik Elias,20142015,N.J,26,0,2,11,2,10,9,1,1,3
Jaromir Jagr,20142015,N.J,68,0,4,7,2,12,4,3,2,13
Damon Severson,20142015,N.J,28,2,0,3,0,2,10,1,3,20
Travis Zajac,20142015,N.J,19,0,0,11,1,8,5,4,3,19
Jon Merrill,20142015,N.J,7,0,0,2,2,2,8,2,11,18
Martin Havlat,20142015,N.J,9,0,0,5,0,5,4,1,2,3
Ben Lovejoy,20142015,ANA,6,0,1,0,0,3,6,0,3,11
Tim Jackman,20142015,ANA,18,0,1,4,0,0,2,0,2,1
John Gibson,20142015,ANA,36,0,0,0,0,0,0,9,14,35
Matt Beleskey,20142015,ANA,39,2,4,16,1,4,5,0,5,16
Nate Thompson,20142015,ANA,44,0,2,3,3,4,6,2,5,5
Chris Kunitz,20142015,PIT,14,1,2,14,2,14,7,5,6,33
Marc-Andre Fleury,20142015,PIT,29,0,0,0,0,0,1,11,27,127
Simon Despres,20142015,PIT,47,0,0,2,2,5,8,2,10,13
Patric Hornqvist,20142015,PIT,72,1,6,18,1,13,12,3,7,27
Sidney Crosby,20142015,PIT,87,2,2,24,2,29,25,3,6,12
Ryan Getzlaf,20142015,ANA,15,2,3,20,8,23,14,4,9,13
Ryan Kesler,20142015,ANA,17,0,3,16,5,11,11,4,7,18
Patrick Maroon,20142015,ANA,19,1,1,7,5,14,6,4,4,13
Sami Vatanen,20142015,ANA,45,0,5,7,1,6,18,5,13,26
Christian Ehrhoff,20142015,PIT,10,0,1,2,2,4,5,2,9,23
Brandon Sutter,20142015,PIT,16,2,4,15,1,5,6,2,1,9
Kris Letang,20142015,PIT,58,0,1,10,1,19,23,5,14,35
Andrew Cogliano,20142015,ANA,7,0,2,10,2,10,2,3,4,9
Devante Smith-Pelly,20142015,ANA,12,1,0,4,0,4,8,1,7,6
Evgeni Malkin,20142015,PIT,71,4,3,21,2,19,21,2,5,17
Emerson Etem,20142015,ANA,16,0,1,4,1,2,2,0,0,3
Rickard Rakell,20142015,ANA,67,0,3,6,2,9,11,3,4,7
Francois Beauchemin,20142015,ANA,23,0,1,10,0,4,7,7,16,19
Hampus Lindholm,20142015,ANA,47,2,2,3,1,14,12,6,18,31
Paul Martin,20142015,PIT,7,0,1,2,1,10,6,7,5,39
Pascal Dupuis,20142015,PIT,9,0,0,6,2,1,2,0,2,1
Corey Perry,20142015,ANA,10,0,8,25,3,12,7,4,6,14
Nick Spaling,20142015,PIT,13,0,0,9,2,4,12,1,5,9
Bryan Rust,20142015,Blake Comeau,20142015,PIT,17,1,2,13,0,10,5,3,3,4
Marcel Goc,20142015,David Perron,20142015,PIT,57,0,0,2,0,1,3,0,1,4
Craig Adams,20142015,PIT,27,0,1,0,0,3,3,2,2,1
Dustin Tokarski,20142015,MTL,35,0,0,0,0,0,1,4,6,24
Alex Ovechkin,20142015,WSH,8,1,8,44,3,17,6,3,7,26
Eric Fehr,20142015,WSH,16,3,4,12,3,6,5,2,2,9
Nicklas Backstrom,20142015,WSH,19,0,2,15,8,22,29,4,2,23
Karl Alzner,20142015,WSH,27,0,2,3,0,6,10,5,7,24
Braden Holtby,20142015,WSH,70,0,0,0,0,0,2,14,32,149
Jack Hillen,20142015,WSH,38,0,0,0,0,1,4,0,2,7
Andre Burakovsky,20142015,WSH,65,0,3,6,1,5,7,1,3,18
Nate Schmidt,20142015,WSH,88,0,0,1,0,0,3,0,6,8
Marcus Johansson,20142015,WSH,90,0,2,18,2,6,18,3,4,30
Jimmy Howard,20142015,DET,35,0,0,0,0,0,1,10,23,97
Henrik Zetterberg,20142015,DET,40,0,1,16,5,25,19,3,8,17
Niklas Kronwall,20142015,DET,55,1,2,6,1,12,22,5,15,36
Danny DeKeyser,20142015,DET,65,0,0,2,2,8,19,7,10,29
Johan Franzen,20142015,DET,93,0,2,5,0,6,9,1,1,4
Kevan Miller,20142015,BOS,86,2,0,0,0,1,4,2,5,18
Jonathan Ericsson,20142015,DET,52,1,0,2,2,6,4,4,11,21
Dennis Seidenberg,20142015,BOS,44,1,0,2,1,2,8,7,8,33
Craig Cunningham,20142015,BOS,61,0,1,1,0,1,0,0,1,2
Darren Helm,20142015,DET,43,1,2,12,4,9,5,6,3,22
Dmitry Kulikov,20142015,FLA,7,0,2,1,1,6,12,4,10,25
Scottie Upshall,20142015,FLA,19,1,2,5,1,3,3,1,1,3
Willie Mitchell,20142015,FLA,33,0,1,2,0,2,3,1,12,27
Dave Bolland,20142015,FLA,63,0,0,6,3,8,6,2,6,9
Tyler Johnson,20142015,T.B,9,0,4,25,3,27,13,3,9,14
