Name,Year,Team,Number,NonAssistGoal,1stAssistGoal,2ndAssistGoal,1stAssist,2ndAssisted1stAssist,2ndAssist,NonAssistPlayers,1stAssistPlayers,2ndAssistPlayers
Patrik Elias,20142015,N.J,26,0,1,4,0,2,2,0,0,2
Damon Severson,20142015,N.J,28,0,0,0,0,2,5,0,1,5
Tomas Kopecky,20142015,FLA,82,0,0,0,0,0,0,0,0,0
Al Montoya,20142015,FLA,35,0,0,0,0,0,0,0,0,11
Brian Campbell,20142015,FLA,51,0,0,1,0,7,4,0,0,6
Travis Zajac,20142015,N.J,19,0,0,3,0,1,2,0,0,6
Jaromir Jagr,20142015,N.J,68,0,0,2,0,3,1,0,0,8
John-Michael Liles,20142015,CAR,26,0,0,0,0,5,2,0,0,3
Alexander Semin,20142015,CAR,28,0,0,0,0,1,3,0,0,3
Anton Khudobin,20142015,CAR,31,0,0,0,0,0,0,0,1,9
Chad Johnson,20142015,NYI,30,0,0,0,0,0,0,0,0,10
Brian Strait,20142015,NYI,37,0,0,0,0,0,0,0,0,0
Nikolay Kulemin,20142015,NYI,86,0,0,0,0,0,0,1,0,0
Patrick Dwyer,20142015,CAR,39,0,0,0,0,0,0,0,0,0
Manny Malhotra,20142015,MTL,20,0,0,0,0,0,0,0,0,0
Ray Emery,20142015,PHI,29,0,0,0,0,0,0,0,0,15
Mark Giordano,20142015,CGY,5,0,0,2,0,6,6,0,0,3
Joe Colborne,20142015,CGY,8,0,0,1,0,1,3,0,0,1
Alexander Steen,20142015,STL,20,0,0,8,2,10,4,1,2,10
Kevin Shattenkirk,20142015,STL,22,0,0,4,0,11,10,0,3,10
Paul Stastny,20142015,STL,26,0,0,7,0,2,6,1,1,9
David Backes,20142015,STL,42,0,1,9,0,4,2,1,1,14
Vladimir Tarasenko,20142015,STL,91,0,0,8,1,4,5,1,2,9
Alex Pietrangelo,20142015,STL,27,0,0,1,0,6,5,1,0,7
Sean Monahan,20142015,CGY,23,0,1,9,0,4,3,0,0,15
Jaden Schwartz,20142015,STL,17,0,2,6,0,4,4,2,1,5
Jay Bouwmeester,20142015,STL,19,0,0,0,0,3,1,1,0,2
T.J. Oshie,20142015,STL,74,0,0,3,1,4,5,0,0,12
Josh Gorges,20142015,BUF,4,0,0,0,0,0,0,0,1,1
Cody McCormick,20142015,BUF,8,0,0,0,0,0,0,0,0,0
Torrey Mitchell,20142015,BUF,17,0,0,0,0,0,0,0,0,0
Jarret Stoll,20142015,L.A,28,0,0,3,0,1,0,0,0,5
Shane Doan,20142015,ARI,19,0,0,5,0,4,1,1,3,12
Oliver Ekman-Larsson,20142015,ARI,23,0,0,10,1,5,4,0,2,12
Devan Dubnyk,20142015,ARI,40,0,0,0,0,0,0,1,2,9
Antoine Vermette,20142015,ARI,50,0,1,5,1,4,2,1,1,7
Mikkel Boedker,20142015,ARI,89,0,0,3,0,4,5,1,2,3
Robyn Regehr,20142015,L.A,44,0,0,0,0,0,0,0,0,0
Jesse Joensuu,20142015,EDM,6,0,0,0,0,0,0,0,0,0
Mark Arcobello,20142015,EDM,26,0,0,0,1,0,0,0,0,1
Viktor Fasth,20142015,EDM,35,0,0,0,0,0,0,0,0,8
Nikita Nikitin,20142015,EDM,86,0,0,2,0,0,1,0,1,2
Radim Vrbata,20142015,VAN,17,1,0,10,0,4,7,1,1,11
Daniel Sedin,20142015,VAN,22,0,2,2,0,11,10,2,0,11
Henrik Sedin,20142015,VAN,33,0,0,5,2,9,9,2,0,11
Luca Sbisa,20142015,VAN,5,0,0,0,0,0,0,0,1,0
Derek Dorsett,20142015,VAN,15,0,0,0,1,0,0,0,0,0
Jannik Hansen,20142015,VAN,36,0,0,0,0,0,0,0,0,2
Alexander Edler,20142015,VAN,23,0,0,5,0,4,5,2,1,13
Cody Franson,20142015,TOR,4,0,0,4,0,4,7,1,0,6
James Reimer,20142015,TOR,34,0,0,0,0,0,0,0,0,15
Derick Brassard,20142015,NYR,16,0,0,6,0,5,7,0,0,8
Ryan McDonagh,20142015,NYR,27,1,0,1,0,4,4,1,1,3
Henrik Lundqvist,20142015,NYR,30,0,0,0,0,0,0,3,0,23
Carl Hagelin,20142015,NYR,62,0,0,1,0,0,0,0,0,0
Dominic Moore,20142015,NYR,28,0,0,0,0,0,1,0,0,0
Jan Hejda,20142015,COL,8,0,0,0,0,0,0,0,0,0
Reto Berra,20142015,COL,20,0,0,0,0,0,0,0,0,8
Ryan O'Reilly,20142015,COL,90,0,0,2,0,6,4,0,0,14
Gabriel Landeskog,20142015,COL,92,0,0,8,0,2,7,0,0,7
Niklas Svedberg,20142015,BOS,72,0,0,0,0,0,0,0,1,5
