Name,Year,Team,Number,NonAssistGoal,1stAssistGoal,2ndAssistGoal,1stAssist,2ndAssisted1stAssist,2ndAssist,NonAssistPlayers,1stAssistPlayers,2ndAssistPlayers
Jan Hejda,20132014,COL,8,1,0,5,0,2,8,5,9,29
Pierre-Alexandre Parenteau,20132014,COL,15,0,2,9,1,9,7,4,1,5
Nick Bonino,20132014,ANA,13,2,3,9,3,9,2,3,3,9
Mark Barberio,20132014,T.B,8,0,0,4,0,0,5,2,3,18
Teddy Purcell,20132014,T.B,16,1,1,7,2,11,3,3,3,13
Alex Killorn,20132014,T.B,17,2,2,9,0,7,12,5,6,11
Anders Lindback,20132014,T.B,39,0,0,0,0,0,0,3,4,28
Valtteri Filppula,20132014,T.B,51,3,2,13,2,8,8,2,4,8
Daniel Paille,20132014,BOS,20,1,2,5,4,2,3,2,0,4
Shawn Thornton,20132014,BOS,22,0,2,3,0,2,1,0,3,3
Tuukka Rask,20132014,BOS,40,0,0,0,0,0,1,10,23,85
Torey Krug,20132014,BOS,47,0,1,7,0,4,9,3,7,21
Adam McQuaid,20132014,BOS,54,1,0,0,0,2,3,0,5,10
Ondrej Palat,20132014,T.B,18,0,2,15,5,13,8,2,4,10
Andrej Sustr,20132014,T.B,62,0,0,1,0,0,5,2,1,9
Richard Panik,20132014,T.B,71,0,0,3,1,2,3,0,5,0
Victor Hedman,20132014,T.B,77,0,1,8,2,15,8,4,9,12
Milan Lucic,20132014,BOS,17,1,3,15,2,12,9,4,3,12
David Krejci,20132014,BOS,46,2,3,10,3,12,16,5,3,16
TJ Brodie,20132014,CGY,7,0,0,3,2,5,11,2,10,28
Mikael Backlund,20132014,CGY,11,0,1,7,1,5,9,3,5,11
Lee Stempniak,20132014,CGY,22,0,1,5,2,3,3,1,1,7
Karri Ramo,20132014,CGY,31,0,0,0,0,0,1,1,14,50
Sean Monahan,20132014,CGY,23,0,4,15,2,5,1,0,3,7
Jiri Hudler,20132014,CGY,24,0,1,13,4,10,10,3,5,5
Michal Neuvirth,20132014,WSH,30,0,0,0,0,0,0,2,0,18
Dennis Wideman,20132014,CGY,6,0,0,2,1,2,10,0,7,14
Lance Bouma,20132014,CGY,17,0,2,2,1,5,4,1,6,4
CGY,54,1,2,4,2,4,2,0,2,6
Brian McGrattan,20132014,CGY,16,0,0,4,0,3,1,0,3,2
Ben Street,20132014,CGY,38,0,0,0,0,0,1,0,0,2
Eric Fehr,20132014,WSH,16,1,5,7,0,12,4,2,0,6
TJ Galiardi,20132014,CGY,39,1,0,2,1,7,4,0,3,8
John Carlson,20132014,WSH,74,1,0,4,0,3,6,3,8,30
Kevin Klein,20132014,NSH,8,0,0,1,1,0,1,0,4,12
Craig Smith,20132014,NSH,15,0,7,10,1,13,11,1,7,8
Pekka Rinne,20132014,NSH,35,0,0,0,0,0,0,1,8,35
Gabriel Bourque,20132014,NSH,57,0,4,4,0,10,6,1,5,12
Victor Bartley,20132014,NSH,64,0,0,1,1,2,2,2,5,12
Jay Bouwmeester,20132014,STL,19,0,0,3,0,10,13,6,8,33
Alex Pietrangelo,20132014,STL,27,0,2,4,2,12,11,4,5,34
Maxim Lapierre,20132014,STL,40,0,2,6,1,4,1,0,2,4
Jaroslav Halak,20132014,STL,41,0,0,0,0,0,1,4,12,55
Ryan Reaves,20132014,STL,75,0,0,1,1,3,2,2,0,5
Mike Fisher,20132014,NSH,12,0,3,12,0,11,9,2,4,9
Nick Spaling,20132014,NSH,13,0,1,7,3,8,4,1,4,9
Eric Nystrom,20132014,NSH,24,1,2,10,0,1,5,0,8,3
Carter Hutton,20132014,NSH,30,0,0,0,1,0,0,4,15,42
NSH,42,0,1,0,1,2,4,2,9,17
Brenden Morrow,20132014,STL,10,0,0,9,0,6,3,1,3,6
Derek Roy,20132014,STL,12,0,0,5,1,7,7,0,2,5
Chris Stewart,20132014,STL,25,0,2,8,0,8,0,0,2,7
Roman Polak,20132014,STL,46,0,0,4,0,2,6,2,9,10
David Legwand,20132014,NSH,11,0,2,4,2,5,9,2,7,3
Matt Hendricks,20132014,NSH,26,0,0,2,0,1,1,0,0,0
Colin Wilson,20132014,NSH,33,0,1,8,2,10,7,2,4,9
Roman Josi,20132014,NSH,59,0,2,8,3,7,5,2,9,25
Alexander Steen,20132014,STL,20,1,0,21,2,6,8,2,4,8
David Backes,20132014,STL,42,2,3,9,0,9,13,1,6,7
T.J. Oshie,20132014,STL,74,2,3,8,3,14,10,1,3,11
Patric Hornqvist,20132014,NSH,27,2,1,12,5,9,6,1,4,12
Matt Frattin,20132014,L.A,21,0,0,1,1,2,0,1,2,2
Slava Voynov,20132014,L.A,26,0,0,3,2,10,5,1,9,17
Jonathan Quick,20132014,L.A,32,0,0,0,0,0,1,6,20,51
Robyn Regehr,20132014,L.A,44,0,0,3,1,4,6,3,4,16
Jeff Carter,20132014,L.A,77,2,4,10,3,8,6,2,6,4
Dany Heatley,20132014,MIN,15,0,1,7,1,6,3,0,0,9
Ryan Suter,20132014,MIN,20,0,1,4,1,3,15,4,10,33
Nino Niederreiter,20132014,MIN,22,0,2,10,2,8,6,0,4,9
Jonas Brodin,20132014,MIN,25,0,1,4,0,1,6,4,7,23
Niklas Backstrom,20132014,MIN,32,0,0,0,0,0,0,0,4,24
Jake Muzzin,20132014,L.A,6,0,1,3,2,5,8,2,6,18
Mike Richards,20132014,L.A,10,1,1,4,4,8,8,1,2,4
Kyle Brodziak,20132014,MIN,21,0,2,4,1,5,7,1,4,8
Matt Cooke,20132014,MIN,24,2,0,7,3,7,5,0,5,4
Jared Spurgeon,20132014,MIN,46,0,0,3,2,7,7,0,5,33
Mikael Granlund,20132014,MIN,64,0,1,5,2,10,11,1,3,2
Kris Versteeg,20132014,FLA,32,0,0,2,0,0,2,0,0,4
Tim Thomas,20132014,FLA,34,0,0,0,0,0,1,6,20,42
Brian Campbell,20132014,FLA,51,0,1,4,0,6,10,6,7,27
Marcel Goc,20132014,FLA,57,1,2,6,1,2,7,1,1,8
Tom Gilbert,20132014,FLA,77,0,1,0,0,11,10,5,10,18
Brenden Dillon,20132014,DAL,4,0,1,2,1,4,6,3,9,31
Alex Chiasson,20132014,DAL,12,0,1,4,2,5,8,2,3,6
Ray Whitney,20132014,DAL,13,0,1,5,1,7,3,1,1,2
Cody Eakin,20132014,DAL,20,0,3,8,0,6,7,1,3,7
Kari Lehtonen,20132014,DAL,32,0,0,0,0,0,1,8,25,91
Jonathan Huberdeau,20132014,FLA,11,0,2,5,2,5,9,5,3,9
Aleksander Barkov,20132014,FLA,16,1,1,3,1,8,3,2,5,6
Brad Boyes,20132014,FLA,24,2,7,9,3,1,10,5,5,8
Shawn Horcoff,20132014,DAL,10,0,0,1,4,5,2,2,0,6
Jordie Benn,20132014,DAL,24,0,0,1,0,5,10,2,6,27
Vernon Fiddler,20132014,DAL,38,1,0,4,1,6,7,1,5,5
Valeri Nichushkin,20132014,DAL,43,2,0,9,1,11,7,3,6,13
Scottie Upshall,20132014,FLA,19,0,2,11,4,9,4,3,3,4
Scott Gomez,20132014,FLA,23,0,1,1,0,4,4,3,0,3
Alex Goligoski,20132014,DAL,33,0,0,3,2,10,10,3,7,28
Sergei Gonchar,20132014,DAL,55,1,0,0,1,2,4,2,7,20
John Moore,20132014,NYR,17,1,0,2,0,3,5,4,5,13
Jesper Fast,20132014,NYR,19,1,3,11,4,9,4,3,1,9
Derek Stepan,20132014,NYR,21,1,2,8,4,11,6,1,2,7
Henrik Lundqvist,20132014,NYR,30,0,0,0,0,0,0,7,20,78
Rick Nash,20132014,NYR,61,2,4,12,2,4,2,2,3,7
PHX,18,1,0,7,0,4,8,2,3,9
PHX,23,0,2,5,0,5,9,3,6,19
PHX,24,0,1,4,1,7,7,1,1,7
PHX,36,1,1,7,1,5,3,4,0,6
PHX,41,0,0,0,0,0,2,8,18,79
Derek Dorsett,20132014,NYR,15,0,1,3,1,3,0,0,2,1
Ryan McDonagh,20132014,NYR,27,1,1,5,1,4,11,4,10,20
Dominic Moore,20132014,NYR,28,2,2,1,1,4,3,1,4,0
PHX,11,0,3,7,3,7,6,2,0,7
PHX,17,0,4,6,0,10,9,4,3,11
PHX,50,2,1,10,3,8,4,2,3,11
PHX,53,0,1,4,3,3,5,1,4,19
Marc Staal,20132014,NYR,18,0,1,1,1,4,3,2,8,22
Jason Garrison,20132014,VAN,5,1,0,1,3,6,3,4,9,19
Ryan Kesler,20132014,VAN,17,3,3,9,2,4,5,2,6,13
Chris Higgins,20132014,VAN,20,1,3,11,2,11,6,4,3,5
Alexander Edler,20132014,VAN,23,0,0,2,1,0,6,1,4,7
Jannik Hansen,20132014,VAN,36,2,3,4,0,4,3,1,3,6
Joe Thornton,20132014,S.J,19,0,5,4,4,25,16,0,5,10
Scott Hannan,20132014,S.J,27,0,0,3,1,2,5,3,7,20
Antti Niemi,20132014,S.J,31,0,0,0,0,0,2,6,29,86
Tomas Hertl,20132014,S.J,48,0,2,9,2,3,5,0,3,5
Brent Burns,20132014,S.J,88,0,1,17,1,6,9,0,9,16
Dan Hamhuis,20132014,VAN,2,0,2,3,2,8,4,5,10,27
Christopher Tanev,20132014,VAN,8,0,0,5,0,2,9,3,13,13
Alexandre Burrows,20132014,VAN,14,0,0,1,1,2,2,0,4,4
Patrick Marleau,20132014,S.J,12,2,5,13,0,16,8,3,5,9
Logan Couture,20132014,S.J,39,1,3,10,2,9,7,2,6,10
Tyler Kennedy,20132014,S.J,81,1,0,3,0,8,3,1,4,4
Brad Richardson,20132014,VAN,15,0,1,6,2,8,1,3,5,8
Ryan Stanton,20132014,VAN,18,0,0,1,0,4,10,5,4,12
Mike Santorelli,20132014,VAN,25,1,4,5,4,5,7,1,2,6
Dale Weise,20132014,VAN,32,0,0,2,0,4,3,0,2,0
Marc-Edouard Vlasic,20132014,S.J,44,0,1,3,3,5,7,2,9,34
Justin Braun,20132014,S.J,61,0,0,3,1,4,7,1,10,31
Kevin Bieksa,20132014,VAN,3,0,0,3,0,6,4,3,11,22
Joe Pavelski,20132014,S.J,8,0,3,20,3,9,8,0,5,9
Andrew Desjardins,20132014,S.J,10,0,1,2,1,4,9,0,1,2
Tommy Wingels,20132014,S.J,57,0,2,12,1,3,10,3,2,9
Kyle Turris,20132014,OTT,7,1,4,10,3,14,6,3,10,14
Clarke MacArthur,20132014,OTT,16,0,4,10,2,13,7,2,5,10
Craig Anderson,20132014,OTT,41,0,0,0,0,0,0,6,29,66
Erik Karlsson,20132014,OTT,65,1,6,7,2,13,12,4,14,18
Cory Conacher,20132014,OTT,89,0,0,4,1,6,8,2,4,7
Tyler Ennis,20132014,BUF,63,0,2,12,3,4,5,1,4,9
Josh Bailey,20132014,NYI,12,0,1,5,4,9,6,0,4,7
Evgeni Nabokov,20132014,NYI,20,0,0,0,0,0,0,3,11,48
Michael Grabner,20132014,NYI,40,1,5,2,5,4,4,0,4,4
Andrew MacDonald,20132014,NYI,47,0,0,1,0,3,6,3,8,22
Frans Nielsen,20132014,NYI,51,0,3,14,2,8,6,0,5,4
Bryce Salvador,20132014,N.J,24,0,0,1,0,3,0,0,3,13
Patrik Elias,20132014,N.J,26,1,2,8,2,9,7,1,2,5
Ryane Clowe,20132014,N.J,29,0,1,3,3,6,5,0,2,3
Martin Brodeur,20132014,N.J,30,0,0,0,0,0,3,5,16,48
Jaromir Jagr,20132014,N.J,68,1,5,11,2,14,14,1,3,8
Thomas Hickey,20132014,NYI,14,0,0,4,1,6,8,5,13,18
Stephen Gionta,20132014,N.J,11,0,1,2,1,2,3,0,0,3
Ryan Carter,20132014,N.J,20,0,1,6,0,1,1,0,2,1
Anton Volchenkov,20132014,N.J,28,0,0,0,2,3,1,2,4,10
Peter Regin,20132014,NYI,16,0,1,1,0,2,1,1,2,2
Brock Nelson,20132014,NYI,29,0,2,8,1,0,6,1,6,7
Brian Strait,20132014,NYI,37,0,0,2,1,2,2,2,6,9
Casey Cizikas,20132014,NYI,53,2,0,3,3,3,1,0,1,3
Reid Boucher,20132014,N.J,12,0,1,6,0,6,1,1,4,3
Adam Henrique,20132014,N.J,14,1,1,13,1,4,6,2,4,6
Colin McDonald,20132014,NYI,13,0,1,7,2,4,4,1,1,5
Matt Martin,20132014,NYI,17,0,2,6,0,5,1,2,3,4
John Tavares,20132014,NYI,91,0,3,13,4,13,6,3,2,10
Dainius Zubrus,20132014,N.J,8,0,3,8,1,4,8,4,3,13
Mattias Tedenby,20132014,N.J,21,0,1,3,2,4,2,0,2,2
Michael Ryder,20132014,N.J,17,2,2,8,0,5,7,0,3,6
Travis Zajac,20132014,N.J,19,1,0,14,3,8,7,4,5,12
Matt Donovan,20132014,NYI,46,0,0,1,0,3,6,1,7,15
Stephen Weiss,20132014,DET,90,0,0,2,0,1,0,0,1,3
Johan Franzen,20132014,DET,93,0,1,8,3,9,2,1,4,7
Jordan Staal,20132014,CAR,11,0,0,12,2,8,2,3,3,4
Eric Staal,20132014,CAR,12,2,4,9,6,14,6,3,1,9
Justin Faulk,20132014,CAR,27,2,0,1,2,3,14,5,13,24
Cam Ward,20132014,CAR,30,0,0,0,1,0,0,5,10,31
Patrick Dwyer,20132014,CAR,39,0,1,5,3,4,6,2,1,1
Riley Nash,20132014,CAR,20,0,3,6,0,5,6,2,4,4
Jay Harrison,20132014,CAR,44,0,0,3,0,3,3,2,10,16
Jeff Skinner,20132014,CAR,53,2,5,13,2,7,3,4,3,3
Jiri Tlusty,20132014,CAR,19,0,1,11,1,8,4,4,4,6
Alexander Semin,20132014,CAR,28,2,4,8,2,7,4,2,5,10
Danny DeKeyser,20132014,DET,65,0,2,0,2,3,11,4,6,17
Ron Hainsey,20132014,CAR,65,1,1,2,2,3,5,4,9,17
Brett Bellemore,20132014,CAR,73,0,0,2,2,0,4,3,8,6
Joey MacDonald,20132014,CGY,35,0,0,0,0,0,0,1,6,15
Chris Butler,20132014,CGY,44,0,0,2,2,6,4,0,7,16
CGY,47,0,1,0,0,2,4,0,2,3
Shane O'Brien,20132014,CGY,55,0,0,0,0,1,2,0,8,5
Jack Skille,20132014,CBJ,10,0,0,5,1,1,4,1,1,1
Blake Comeau,20132014,CBJ,14,0,1,4,1,4,5,1,3,5
Brandon Dubinsky,20132014,CBJ,17,0,1,8,5,11,7,3,1,7
Dalton Prout,20132014,CBJ,47,0,0,2,0,1,3,1,8,5
Sergei Bobrovsky,20132014,CBJ,72,0,0,0,0,0,0,12,21,64
Curtis Glencross,20132014,CGY,20,0,1,5,0,3,4,0,0,5
Cam Atkinson,20132014,CBJ,13,2,4,10,0,8,5,2,3,6
Derek MacKenzie,20132014,CBJ,24,0,0,7,0,5,2,2,0,3
James Wisniewski,20132014,CBJ,21,1,0,2,1,5,9,2,7,23
Ryan Murray,20132014,CBJ,27,0,0,1,3,3,5,3,5,22
Artem Anisimov,20132014,CBJ,42,0,4,12,2,5,5,2,2,5
Mark Letestu,20132014,CBJ,55,0,1,4,1,9,3,5,0,5
Mark Giordano,20132014,CGY,5,0,1,6,1,7,9,2,8,17
Matt Calvert,20132014,CBJ,11,1,1,4,0,7,5,1,3,7
David Savard,20132014,CBJ,58,1,0,3,0,3,4,4,6,18
Trevor Lewis,20132014,L.A,22,0,1,4,1,2,1,1,1,2
Jarret Stoll,20132014,L.A,28,0,0,7,1,10,3,3,6,3
Dwight King,20132014,L.A,74,0,4,8,0,5,9,5,6,6
Evander Kane,20132014,WPG,9,1,3,9,0,14,2,4,2,6
Devin Setoguchi,20132014,WPG,40,0,2,6,1,8,6,0,2,4
Mark Scheifele,20132014,WPG,55,2,2,7,2,5,9,2,5,9
Willie Mitchell,20132014,L.A,33,0,1,0,1,1,7,4,11,21
Drew Doughty,20132014,L.A,8,0,2,2,0,10,3,6,7,30
Rich Clune,20132014,NSH,16,0,1,2,1,2,1,1,1,1
Paul Gaustad,20132014,NSH,28,1,2,5,4,3,3,0,4,3
Marc-Andre Cliche,20132014,COL,24,0,0,1,0,2,2,0,0,3
Patrick Bordeleau,20132014,COL,58,0,0,6,0,3,2,0,0,3
Zdeno Chara,20132014,BOS,33,1,1,5,1,8,5,4,13,21
Patrice Bergeron,20132014,BOS,37,0,4,15,6,8,10,2,4,12
Johnny Boychuk,20132014,BOS,55,1,1,3,2,6,5,5,14,31
Brad Marchand,20132014,BOS,63,0,6,12,3,15,8,2,5,8
Daniel Alfredsson,20132014,DET,11,0,2,10,1,8,8,1,3,2
Chris Kelly,20132014,BOS,23,0,0,6,1,5,3,3,3,8
Jordan Caron,20132014,BOS,38,0,0,1,0,2,0,1,2,1
Chris Neil,20132014,OTT,25,1,0,7,2,0,2,2,4,5
Patrick Wiercioch,20132014,OTT,46,0,0,1,1,3,6,3,5,11
Morgan Rielly,20132014,TOR,44,0,0,0,0,3,11,4,7,21
Bobby Ryan,20132014,OTT,6,2,2,12,6,7,8,1,2,10
Milan Michalek,20132014,OTT,9,1,2,10,3,6,8,3,9,13
Jason Spezza,20132014,OTT,19,0,4,9,2,17,9,2,6,5
Colin Greening,20132014,OTT,14,0,1,2,5,1,4,4,4,4
Zack Smith,20132014,OTT,15,2,5,5,2,1,3,3,7,5
Spencer Abbott,20132014,TOR,56,0,0,0,0,0,0,0,0,0
Wayne Simmonds,20132014,PHI,17,0,1,11,2,10,9,3,3,8
Ray Emery,20132014,PHI,29,0,0,0,0,0,0,1,7,21
