name,0,1,2,3
widemde01,224.080191987,-4.43438339434,-2.06652266546,0.312838125414
wisnija01,32.2652451712,-12.1946495167,14.4921038648,2.98196607729
backeda01,171.724530664,7.69161518897,-6.30128240481,6.64770991833
bergepa01,169.507478146,-3.98927968472,-1.32906923965,7.99858442026
bernist01,-0.0118631184337,11.540511112,0.819638291447,0.479655062012
bissopa01,-111.634136149,5.91548040598,18.1679477674,3.70442399856
bitzby01,-112.286215328,3.25416888227,4.28429664734,11.3296272533
bodietr01,-154.820692762,-35.832103587,43.6067044201,-0.370092806439
boldual01,-142.127655077,-5.00279278041,-14.06024623,-12.9977788999
boylebr01,-100.927077862,-3.68989042072,-0.315977139392,0.240627324225
brodzky01,15.8093923655,35.461591435,-13.8254147145,-0.0503620282771
browndu01,359.623513435,-25.7182257639,-8.66506186244,-10.3857666797
