Year,Name,Order,Team,Pos,Games,TOI,TOIPG
20142015,Casey Cizikas,435,NYI,C,70,876,12.51
20142015,Jay Harrison,436,WPG,D,55,876,15.93
20142015,Erik Haula,437,MIN,C,72,874,12.14
20142015,Tyson Strachan,438,BUF,D,46,873,18.98
20142015,Mark Barberio,439,TB,D,52,872,16.77
20142015,Cedric Paquette,440,TB,C,64,871,13.61
20142015,Matt Dumba,441,MIN,D,58,870,15.00
20142015,Matt Hunwick,442,NYR,D,55,869,15.80
20142015,Josh Jooris,443,CGY,C,60,869,14.48
20142015,Dave Bolland,444,FLA,C,53,866,16.34
20142015,Steve Bernier,445,NJ,RW,67,866,12.93
20142015,Curtis Lazar,446,OTT,C,67,864,12.90
20142015,Marcel Goc,447,STL,C,74,864,11.68
20142015,Ryan Stanton,448,VAN,D,54,864,16.00
20142015,Kyle Clifford,449,LA,LW,80,859,10.74
20142015,Braydon Coburn,450,TB,D,43,857,19.93
20142015,Maxim Lapierre,451,PIT,C,80,856,10.70
20142015,David Krejci,452,BOS,C,47,853,18.15
20142015,Jordan Staal,453,CAR,C,46,853,18.54
20142015,Artem Anisimov,454,CLS,C,52,851,16.37
20142015,Joffrey Lupul,455,TOR,LW,55,851,15.47
20142015,Gregory Campbell,456,BOS,C,70,849,12.13
20142015,Sergei Gonchar,457,MON,D,48,849,17.69
20142015,Brandon Dubinsky,458,CLS,C,47,848,18.04
20142015,Justin Fontaine,459,MIN,RW,71,848,11.94
20142015,Chris VandeVelde,460,PHI,C,72,844,11.72
20142015,Mason Raymond,461,CGY,LW,57,844,14.81
20142015,Jyrki Jokipakka,462,DAL,D,51,842,16.51
20142015,David Clarkson,463,CLS,RW,61,841,13.79
20142015,Pierre-Alexandr Parenteau,464,MON,RW,56,839,14.98
20142015,Tuomo Ruutu,465,NJ,LW,77,836,10.86
20142015,Bo Horvat,466,VAN,C,68,833,12.25
20142015,Gabriel Bourque,467,NSH,LW,69,828,12.00
20142015,Adam Pardy,468,WPG,D,55,826,15.02
20142015,Tomas Kopecky,469,FLA,RW,64,825,12.89
20142015,Nikita Nikitin,470,EDM,D,42,824,19.62
20142015,Paul Byron,471,CGY,C,57,824,14.46
20142015,Eric Brewer,472,TOR,D,44,822,18.68
20142015,Olli Jokinen,473,STL,C,62,822,13.26
20142015,Melker Karlsson,474,SJ,C,53,818,15.43
20142015,Daniel Paille,475,BOS,LW,71,817,11.51
