name,0,1,2
meszaan01,-982.065441146,-95.0480354893,-14.3142983664
nikitni01,237.294838127,5.07650760143,24.8690344193
nokelpe01,66.1709798808,-119.084631127,-70.4685119607
oleszro01,-555.933093126,-22.0361691192,-87.2108295034
oreskvi01,891.305528818,17.634650697,2.70066974296
pardyad01,-245.01857758,32.9014502304,193.811403367
picaral02,994.733655146,30.1501387999,1.02175562697
polakro01,-481.988154945,-148.193204223,103.575421835
porteke01,-348.816542858,-67.3360744739,-44.0000575172
prustbr01,708.557496757,21.1353402875,28.4698629818
reddoli01,945.276046499,-24.1517539903,-24.5827743819
regiest01,980.918916173,19.1544638933,-7.63838821436
reginpe01,-28.9127971104,60.7344127474,38.1330538615
santomi01,676.827697586,22.3631081111,-0.963395058513
sawadra01,1037.08696496,19.3852477895,-0.70815344923
schrero01,-111.912730225,-73.8590242529,-22.8917177693
schulje02,-911.768835069,-226.658173236,200.884622064
sekeran01,-1065.24977572,-30.0493960843,134.487091373
smidla01,-943.271613356,-272.723610493,125.003521715
staffdr01,-342.488513776,60.6576184891,-92.9963587803
stonecl01,927.492689359,2.71444994364,8.48836254694
vernami01,932.084624736,31.5791907738,23.3022118921
verstkr01,-916.516009485,37.761695171,-104.354967914
waltebe01,1029.30229913,13.8458070996,-7.11265434201
wheelbl01,-892.663185436,67.5672729998,39.2477141069
winnida01,-71.0692056133,-107.627478295,-25.1422396521
wolskwo01,-390.997925254,76.2951386069,39.6914241717
yipbr01,427.342511473,-42.5038168638,-74.3273424759
zajactr01,-1035.3345159,155.499969604,71.0609885979
abdelju01,-268.84114477,54.6596373269,38.3492728721
bartuos01,800.003947781,-34.7476428147,-2.00774727743
bergfni01,955.823369761,9.26674990295,-4.61804088012
blundmi01,1062.93499922,25.0609024191,-3.14990923429
bollja01,213.426679462,17.8401383355,33.1511749334
brophev01,1075.83256428,26.1624364631,-0.357798530307
brulegi01,257.923923398,-95.7340681152,-67.1124674804
butlech01,-196.559553308,-28.1882132828,95.4547100726
chornta01,986.902113312,-6.83942166726,-9.68794999123
coglian01,-542.95390853,-95.3106083515,-21.5271123466
crosbsi01,455.834226088,128.244883352,15.0641707936
cumisky01,630.256253824,-10.0306304743,26.4537900411
dagosma01,-671.106613027,67.8844794881,-9.47940772415
downist01,-696.478205293,72.702350687,33.830818001
drazeni01,1049.41358292,23.030630973,-2.93592335276
faynema01,-849.604863658,-35.4565822489,92.672283823
finlejo01,1024.77721807,17.008091497,0.541348117688
fransco01,-316.791281348,-18.5272183363,39.9889264143
frasema01,600.992540608,4.71279142115,48.701722932
gerbena01,-240.875090606,-21.1668226103,-69.7731963047
gragnma01,-196.708278001,-28.133048171,153.620416659
greenco01,488.712886248,27.2746926212,-3.61575307836
hanzama01,-500.570421112,74.9412991951,18.8604349623
helmda01,-423.730490572,160.868668627,-12.8627387083
hensitj01,981.879910826,0.31859606283,-24.9788880629
hjalmni01,-707.678776054,-28.215002752,178.664696584
hornqpa01,-641.105125289,185.828404973,-116.921270622
johnsja02,-1459.61087419,-73.7665382226,-57.8601420957
jonesbl01,883.968955789,41.9222235553,7.09923556956
joslide01,365.105806992,-74.5460129358,-17.3822347132
kassima01,1053.5913512,18.0819322081,-1.99226066194
kenneti01,996.629831547,4.01171493115,1.57106596389
kindlja01,-44.6713886522,40.471179937,100.95158209
kopitan01,-1222.62307558,304.656518074,78.9815870718
kostise01,-557.72484282,-156.152845461,-41.879881611
laakste01,919.724283602,-18.749439088,-8.53722713511
lashoma01,866.528766911,-10.7083327105,-7.16963132315
latengu01,725.596062888,-11.223678158,-42.4170670205
leebr01,-80.1607946632,-141.050427522,42.9914787792
letankr01,-627.043743087,136.603799925,79.8220717168
mcardke01,915.197011996,4.8558790933,7.67502700733
mcquaad01,-406.961671171,-145.482400596,76.7932061626
mikkebr01,280.555576484,-47.5738082559,-1.91165226764
niskama01,-301.598375814,1.97486806103,25.6093317578
omarrry01,979.274102661,13.1006974464,4.45829137078
oreilca01,224.106660505,-19.4204301167,54.2219124845
oshietj01,-133.346935177,117.494335043,45.847673033
poulibe01,-408.84333839,100.268701463,71.8603290002
pyattto01,-231.779462626,-180.29053756,-47.5665976425
raymoma01,-836.759532827,230.026872556,38.1259516235
reavery01,805.379777783,-27.1957655899,-5.59799307037
ritolma01,1013.1033227,39.4471708749,-6.04498365798
russekr01,-158.986625413,-9.82903249401,101.225301302
russery01,515.879443452,-65.8577469131,-22.8973699221
ryanbo01,-961.38123694,50.3434775867,-95.2797653096
sauermi01,602.327965853,-37.6105484112,31.4903032523
setogde01,-571.412636027,146.514184737,-84.0631845097
skillja01,233.237802772,-27.3008900449,-48.7312921555
