,TOT,age_x,age_y,assists_ev,assists_pp,assists_sh,blocks,corsi_against,corsi_for,corsi_pct,corsi_rel_pct,fenwick_against,fenwick_for,fenwick_pct,fenwick_rel_pct,games_played,giveaways,goals_ev,goals_gw,goals_pp,goals_sh,hits,name,on_ice_shot_pct,on_ice_sv_pct,pdo,pen_min,plus_minus,season,shot_pct,shot_pct.1,shots_attempted,shots_attempted.1,takeaways,time_on_ice_avg,uniqueseason,zs_defense_pct,zs_offense_pct
787,LAK,33.0,33.0,14.0,9.0,0.0,24.0,897.0,1162.0,56.4,2.7,698.0,856.0,55.1,1.8,81.0,57.0,14.0,2.0,4.0,0.0,29.0,williju01,8.2,91.7,99.9,29.0,8.0,2014-15,10.3,10.3,307.0,307.0,25.0,15.49,1,45.7,54.3
42,VAN,33.0,33.0,8.0,1.0,1.0,93.0,1057.0,978.0,48.1,-1.9,777.0,734.0,48.6,-3.0,60.0,64.0,4.0,1.0,0.0,0.0,109.0,biekske01,9.4,91.1,100.0,77.0,0.0,2014-15,4.0,4.0,206.0,206.0,19.0,20.5,1,50.3,49.7
71,NJD,33.0,33.0,17.0,7.0,0.0,13.0,530.0,518.0,49.4,4.4,419.0,400.0,48.8,2.7,42.0,24.0,11.0,1.0,3.0,0.0,15.0,cammami01,12.7,92.8,105.0,18.0,15.0,2015-16,13.9,13.9,153.0,153.0,19.0,19.17,1,37.3,62.8
101,BUF,33.0,33.0,3.0,1.0,0.0,41.0,454.0,427.0,48.5,2.0,336.0,316.0,48.5,1.5,36.0,11.0,1.0,0.0,0.0,0.0,36.0,colaica01,6.6,89.2,95.8,10.0,-11.0,2015-16,3.4,3.4,59.0,59.0,3.0,14.28,1,43.7,56.3
113,TOT,33.0,33.0,2.0,8.0,0.0,35.0,519.0,625.0,54.6,-0.9,397.0,459.0,53.6,-1.7,48.0,22.0,2.0,0.0,0.0,0.0,39.0,ehrhoch01,5.1,90.9,96.1,34.0,-11.0,2015-16,2.5,2.5,174.0,174.0,5.0,15.29,1,42.7,57.3
158,VAN,33.0,33.0,8.0,2.0,0.0,72.0,898.0,906.0,50.2,2.8,711.0,683.0,49.0,2.8,58.0,47.0,2.0,1.0,1.0,0.0,64.0,hamhuda01,7.5,92.2,99.7,28.0,-2.0,2015-16,4.2,4.2,164.0,164.0,24.0,21.25,1,48.9,51.1
186,DAL,33.0,33.0,0.0,0.0,0.0,0.0,12.0,13.0,52.0,6.8,9.0,9.0,50.0,-0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,hemskal01,0.0,100.0,100.0,0.0,0.0,2016-17,0.0,0.0,5.0,5.0,0.0,15.32,1,50.0,50.0
204,ANA,33.0,33.0,2.0,0.0,0.0,19.0,392.0,396.0,50.3,1.0,289.0,304.0,51.3,1.8,55.0,6.0,5.0,1.0,0.0,0.0,110.0,jackmti01,4.6,93.1,97.6,86.0,-4.0,2014-15,9.1,9.1,101.0,101.0,6.0,8.23,1,49.6,50.4
233,FLA,33.0,33.0,3.0,0.0,0.0,5.0,148.0,185.0,55.6,3.4,117.0,140.0,54.5,2.8,13.0,15.0,1.0,1.0,0.0,0.0,3.0,jokinju01,7.7,91.8,99.5,8.0,0.0,2016-17,4.3,4.3,40.0,40.0,6.0,18.39,1,48.8,51.2
275,MIN,33.0,33.0,3.0,3.0,1.0,25.0,322.0,311.0,49.1,-0.6,233.0,224.0,49.0,-0.4,22.0,10.0,4.0,1.0,0.0,0.0,6.0,koivumi01,8.4,94.0,102.0,6.0,4.0,2016-17,11.4,11.4,68.0,68.0,12.0,20.05,1,61.2,38.8
341,CAR,33.0,33.0,1.0,0.0,0.0,13.0,176.0,165.0,48.4,-6.1,134.0,121.0,47.5,-5.5,22.0,3.0,0.0,0.0,0.0,0.0,21.0,mccleja01,4.5,90.3,94.8,8.0,-5.0,2016-17,0.0,0.0,29.0,29.0,7.0,10.55,1,58.3,41.7
375,ARI,33.0,33.0,6.0,1.0,1.0,36.0,648.0,635.0,49.5,0.8,468.0,469.0,50.1,2.3,60.0,10.0,3.0,0.0,1.0,0.0,115.0,mossda01,3.9,90.7,94.6,24.0,-18.0,2014-15,4.2,4.2,166.0,166.0,18.0,12.55,1,60.1,39.9
408,CHI,33.0,33.0,8.0,0.0,0.0,123.0,1226.0,1300.0,51.5,-4.4,880.0,937.0,51.6,-2.7,76.0,44.0,2.0,0.0,0.0,0.0,69.0,oduyajo01,6.7,93.5,100.0,26.0,5.0,2014-15,2.6,2.6,199.0,199.0,22.0,20.17,1,49.0,51.0
426,NJD,33.0,33.0,3.0,0.0,0.0,1.0,234.0,266.0,53.2,6.7,189.0,215.0,53.2,6.6,22.0,10.0,4.0,0.0,1.0,0.0,20.0,parenpi01,5.5,88.9,94.3,14.0,-6.0,2016-17,11.9,11.9,57.0,57.0,8.0,15.49,1,43.0,57.0
449,MTL,33.0,33.0,28.0,12.0,0.0,46.0,1051.0,1179.0,52.9,2.0,797.0,852.0,51.7,0.6,82.0,45.0,13.0,1.0,1.0,0.0,60.0,plekato01,8.9,91.4,100.0,36.0,4.0,2015-16,7.4,7.4,323.0,323.0,15.0,18.32,1,53.6,46.4
467,MIN,33.0,33.0,18.0,7.0,0.0,31.0,968.0,1030.0,51.6,5.1,717.0,786.0,52.3,5.0,75.0,22.0,8.0,2.0,3.0,0.0,31.0,pominja01,7.4,93.5,100.0,12.0,10.0,2015-16,5.9,5.9,285.0,285.0,21.0,16.22,1,41.4,58.6
527,BOS,33.0,33.0,11.0,0.0,0.0,146.0,1461.0,1352.0,48.1,-6.4,1111.0,986.0,47.0,-6.2,82.0,24.0,3.0,0.0,0.0,0.0,212.0,seidede01,8.1,92.3,100.0,34.0,-1.0,2014-15,2.9,2.9,209.0,209.0,8.0,22.06,1,56.1,43.9
543,CHI,33.0,33.0,21.0,6.0,0.0,15.0,817.0,1031.0,55.8,2.5,634.0,740.0,53.9,1.2,68.0,25.0,8.0,2.0,8.0,0.0,74.0,sharppa01,7.7,89.9,97.5,33.0,-8.0,2014-15,7.0,7.0,413.0,413.0,38.0,16.49,1,33.6,66.4
570,DAL,33.0,33.0,2.0,3.0,0.0,6.0,210.0,211.0,50.1,1.3,150.0,151.0,50.2,0.0,17.0,12.0,3.0,1.0,1.0,0.0,5.0,spezzja01,6.7,83.8,90.5,6.0,-12.0,2016-17,9.5,9.5,77.0,77.0,7.0,16.26,1,56.3,43.7
611,WPG,33.0,33.0,0.0,0.0,0.0,16.0,139.0,92.0,39.8,-9.1,88.0,61.0,40.9,-7.9,20.0,1.0,1.0,0.0,0.0,0.0,36.0,thorbch01,4.1,90.3,94.4,36.0,-4.0,2016-17,7.1,7.1,21.0,21.0,1.0,8.18,1,62.0,38.0
624,CHI,33.0,33.0,0.0,0.0,0.0,2.0,115.0,124.0,51.9,2.7,85.0,99.0,53.8,7.0,19.0,4.0,0.0,0.0,0.0,0.0,17.0,tootojo01,1.5,98.4,99.9,11.0,0.0,2016-17,0.0,0.0,38.0,38.0,4.0,6.56,1,48.7,51.3
637,COL,33.0,33.0,7.0,0.0,0.0,23.0,249.0,226.0,47.6,-0.9,176.0,163.0,48.1,-0.9,17.0,4.0,0.0,0.0,0.0,0.0,31.0,tyutife01,9.5,91.3,100.0,8.0,-2.0,2016-17,0.0,0.0,26.0,26.0,4.0,18.46,1,59.8,40.2
648,PHI,33.0,33.0,8.0,1.0,0.0,15.0,371.0,314.0,45.8,-5.0,274.0,237.0,46.4,-3.6,39.0,7.0,1.0,0.0,1.0,0.0,59.0,umberrj01,8.5,93.1,101.0,15.0,1.0,2015-16,4.2,4.2,72.0,72.0,4.0,10.1,1,47.8,52.2
660,MIN,33.0,33.0,1.0,0.0,0.0,8.0,61.0,64.0,51.2,-2.6,38.0,45.0,54.2,-0.5,12.0,0.0,1.0,1.0,0.0,0.0,9.0,veillst01,6.1,87.5,93.6,10.0,0.0,2014-15,11.1,11.1,12.0,12.0,2.0,7.42,1,68.1,31.9
714,MIN,33.0,33.0,11.0,6.0,0.0,63.0,760.0,581.0,43.3,-0.2,583.0,428.0,42.3,-0.3,46.0,33.0,4.0,0.0,3.0,0.0,66.0,zidlima01,9.2,92.1,101.0,30.0,-6.0,2010-11,13.2,13.2,141.0,141.0,14.0,21.46,1,53.8,46.2
66,STL,33.0,33.0,3.0,0.0,0.0,26.0,382.0,394.0,50.8,-3.4,285.0,296.0,50.9,-4.8,23.0,14.0,1.0,0.0,0.0,0.0,21.0,bouwmja01,8.9,88.2,97.1,14.0,-6.0,2016-17,3.2,3.2,64.0,64.0,5.0,22.53,1,53.4,46.6
76,NYI,33.0,33.0,4.0,1.0,0.0,51.0,377.0,356.0,48.6,4.3,259.0,268.0,50.9,6.2,22.0,12.0,2.0,1.0,0.0,1.0,53.0,boychjo01,6.7,91.6,98.3,2.0,-1.0,2016-17,5.5,5.5,112.0,112.0,5.0,20.27,1,44.7,55.3
138,CBJ,33.0,33.0,0.0,0.0,0.0,0.0,21.0,12.0,36.4,-5.3,18.0,9.0,33.3,-4.8,2.0,0.0,0.0,0.0,0.0,0.0,2.0,craigry01,12.5,93.3,105.0,0.0,0.0,2014-15,0.0,0.0,3.0,3.0,0.0,7.17,1,44.4,55.6
153,PIT,33.0,33.0,4.0,1.0,1.0,38.0,407.0,376.0,48.0,-5.5,296.0,289.0,49.4,-5.8,23.0,10.0,1.0,0.0,1.0,0.0,6.0,daleytr01,7.7,92.8,100.0,12.0,0.0,2016-17,6.1,6.1,77.0,77.0,13.0,21.11,1,50.7,49.3
243,MTL,33.0,33.0,0.0,0.0,1.0,88.0,611.0,586.0,49.0,-5.0,431.0,437.0,50.3,-3.0,45.0,39.0,1.0,0.0,0.0,0.0,29.0,gilbeto01,6.3,92.3,98.7,12.0,3.0,2015-16,2.8,2.8,82.0,82.0,6.0,16.52,1,49.4,50.6
