,index_x,season,TOT,age_x,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct.1,shots_attempted.1,time_on_ice_avg,hits,blocks,takeaways,giveaways,name,index_y,age_y,corsi_for,corsi_against,corsi_pct,corsi_rel_pct,fenwick_for,fenwick_against,fenwick_pct,fenwick_rel_pct,on_ice_shot_pct,on_ice_sv_pct,pdo,zs_offense_pct,zs_defense_pct,uniqueseason
58,11,2009-10,TOT,32.0,77.0,32.0,2.0,12.0,3.0,0.0,3.0,20.0,6.0,0.0,9.9,250.0,9.9,250.0,15.31,47.0,29.0,40.0,23.0,belaner01,3.0,32.0,851.0,814.0,51.1,-1.6,647.0,606.0,51.6,-0.6,8.2,92.7,100.0,43.8,56.2,1
61,14,2010-11,PHX,33.0,82.0,36.0,11.0,11.0,1.0,1.0,2.0,23.0,4.0,0.0,10.2,248.0,10.2,248.0,17.21,71.0,45.0,45.0,29.0,belaner01,6.0,33.0,1143.0,1059.0,51.9,1.3,858.0,814.0,51.3,2.2,9.7,92.2,101.0,46.5,53.5,1
62,15,2011-12,EDM,34.0,78.0,32.0,-13.0,2.0,1.0,1.0,0.0,8.0,4.0,0.0,3.4,217.0,3.4,217.0,14.44,36.0,41.0,50.0,38.0,belaner01,7.0,34.0,731.0,852.0,46.2,-2.2,546.0,633.0,46.3,-3.7,5.9,92.3,98.2,41.9,58.1,1
63,16,2012-13,EDM,35.0,26.0,10.0,-1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,54.0,0.0,54.0,14.07,19.0,15.0,12.0,9.0,belaner01,8.0,35.0,199.0,316.0,38.6,-10.0,141.0,229.0,38.1,-10.0,7.7,94.6,102.0,34.0,66.0,1
70,7,2007-08,PHI,29.0,5.0,29.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,3.52,4.0,0.0,1.0,0.0,bouleje01,1.0,29.0,9.0,14.0,39.1,-14.0,4.0,13.0,23.5,-32.0,0.0,77.8,77.8,0.0,100.0,1
78,7,2007-08,WSH,29.0,77.0,74.0,1.0,5.0,1.0,1.0,2.0,11.0,0.0,0.0,6.3,173.0,6.3,173.0,9.00,126.0,17.0,21.0,20.0,bradlma01,1.0,29.0,637.0,531.0,54.5,-0.6,474.0,398.0,54.4,-1.1,6.4,92.3,98.7,49.3,50.7,1
79,8,2008-09,WSH,30.0,81.0,59.0,-1.0,5.0,0.0,0.0,1.0,6.0,0.0,0.0,5.1,166.0,5.1,166.0,10.37,115.0,16.0,21.0,22.0,bradlma01,2.0,30.0,687.0,675.0,50.4,-6.0,493.0,494.0,49.9,-6.3,6.0,94.0,100.0,51.8,48.2,1
80,9,2009-10,WSH,31.0,77.0,47.0,6.0,9.0,0.0,1.0,5.0,14.0,0.0,0.0,10.2,193.0,10.2,193.0,11.02,112.0,19.0,27.0,8.0,bradlma01,3.0,31.0,696.0,621.0,52.8,-1.1,484.0,454.0,51.6,-1.0,8.4,92.6,101.0,48.8,51.2,1
81,10,2010-11,WSH,32.0,61.0,68.0,-3.0,4.0,0.0,0.0,0.0,7.0,0.0,0.0,6.9,103.0,6.9,103.0,10.29,156.0,15.0,12.0,5.0,bradlma01,4.0,32.0,499.0,535.0,48.3,-4.1,367.0,358.0,50.6,-1.2,6.9,91.2,98.1,49.7,50.3,1
82,11,2011-12,FLA,33.0,45.0,31.0,-3.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,8.6,61.0,8.6,61.0,10.52,134.0,11.0,7.0,2.0,bradlma01,5.0,33.0,322.0,458.0,41.3,-11.0,231.0,332.0,41.0,-12.0,6.5,93.9,100.0,50.0,50.0,1
94,12,2007-08,PHI,30.0,79.0,68.0,-22.0,17.0,14.0,0.0,3.0,17.0,23.0,1.0,17.0,299.0,17.0,299.0,18.52,29.0,17.0,28.0,43.0,brierda01,1.0,30.0,936.0,1131.0,45.3,-4.7,690.0,869.0,44.3,-6.5,7.7,91.2,99.0,57.4,42.6,1
