"","name","season","TOT","X.x","age.x","games_played","pen_min","plus_minus","goals_ev","goals_pp","goals_sh","goals_gw","assists_ev","assists_pp","assists_sh","shot_pct","shots_attempted","shot_pct.1","shots_attempted.1","time_on_ice_avg","hits","blocks","takeaways","giveaways","X.y","age.y","corsi_for","corsi_against","corsi_pct","corsi_rel_pct","fenwick_for","fenwick_against","fenwick_pct","fenwick_rel_pct","on_ice_shot_pct","on_ice_sv_pct","pdo","zs_offense_pct","zs_defense_pct"
"21","beginst01","1999-00","TOT",2,30,13,18,"-3",1,0,0,0,1,0,0,"33.3",NA,"33.3",NA,"7:13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","beginst01","2000-01","MTL",3,30,4,21,"0",0,0,0,0,0,0,0,"0.0",NA,"0.0",NA,"6:04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","beginst01","2001-02","DAL",4,30,51,79,"-3",6,1,0,0,5,0,0,"10.8",NA,"10.8",NA,"9:25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","beginst01","2002-03","BOS",5,31,50,51,"-7",3,0,0,1,1,0,0,"5.1",NA,"5.1",NA,"9:13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","beginst01","2003-04","NSH",6,32,52,41,"6",9,0,1,1,5,0,0,"11.0",NA,"11.0",NA,"12:32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","beginst01","2005-06","CGY",7,34,76,113,"9",8,1,2,2,9,1,2,"8.2",NA,"8.2",NA,"14:19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","belaner01","2000-01","MIN",1,30,62,16,"14",6,1,2,1,11,1,0,"11.3",NA,"11.3",NA,"13:25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","belaner01","2001-02","MIN",2,31,53,21,"2",5,2,1,1,10,6,0,"11.9",NA,"11.9",NA,"14:33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","belaner01","2002-03","TOT",3,32,62,26,"-5",13,0,3,1,15,4,0,"14.0",NA,"14.0",NA,"17:42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","belaner01","2003-04","MIN",4,32,81,44,"-16",12,0,1,2,16,3,1,"9.8",NA,"9.8",NA,"17:01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","belaner01","2005-06","WSH",5,32,65,62,"-5",12,5,0,1,17,2,1,"14.3",NA,"14.3",NA,"17:33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","belaner01","2006-07","EDM",7,34,56,14,"-2",5,3,0,1,10,2,0,"8.0",NA,"8.0",NA,"14:51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","belaner01","2006-07","EDM",8,35,24,12,"0",8,1,0,0,6,0,0,"18.4",NA,"18.4",NA,"19:29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","belaner01","2006-07","PHX",6,33,80,26,"-2",13,4,0,1,16,2,0,"11.4",NA,"11.4",NA,"16:15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","bouleje01","2001-02","PHI",1,29,3,5,"-1",0,0,0,0,0,0,0,"0.0",NA,"0.0",NA,"4:18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","bouleje01","2002-03","EDM",2,30,48,108,"-2",2,0,0,0,1,0,0,"16.7",NA,"16.7",NA,"3:54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","bradlma01","2000-01","WSH",1,29,21,19,"0",1,0,0,0,1,0,0,"6.3",NA,"6.3",NA,"6:58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","bradlma01","2001-02","WSH",2,30,54,43,"22",9,0,0,2,13,0,0,"14.3",NA,"14.3",NA,"8:27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","bradlma01","2002-03","WSH",3,31,46,37,"-1",2,0,0,0,3,0,0,"9.5",NA,"9.5",NA,"7:54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","bradlma01","2003-04","WSH",4,32,82,65,"-27",7,0,0,1,8,1,0,"8.2",NA,"8.2",NA,"12:48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","bradlma01","2005-06","FLA",5,33,74,72,"-8",7,0,0,1,11,0,1,"8.0",NA,"8.0",NA,"12:36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
