,TOT,age_x,age_y,assists_ev,assists_pp,assists_sh,blocks,corsi_against,corsi_for,corsi_pct,corsi_rel_pct,fenwick_against,fenwick_for,fenwick_pct,fenwick_rel_pct,games_played,giveaways,goals_ev,goals_gw,goals_pp,goals_sh,hits,name,on_ice_shot_pct,on_ice_sv_pct,pdo,pen_min,plus_minus,season,shot_pct,shot_pct.1,shots_attempted,shots_attempted.1,takeaways,time_on_ice_avg,uniqueseason,zs_defense_pct,zs_offense_pct
423,MIN,24.0,24.0,5.0,0.0,0.0,6.0,219.0,252.0,53.5,3.8,145.0,190.0,56.7,6.4,25.0,5.0,3.0,0.0,0.0,0.0,24.0,schrojo01,8.2,97.1,105.0,2.0,9.0,2014-15,6.3,6.3,65.0,65.0,13.0,10.51,1,51.7,48.3
428,CGY,24.0,24.0,2.0,0.0,0.0,4.0,137.0,82.0,37.4,-4.6,95.0,61.0,39.1,-6.2,11.0,1.0,1.0,0.0,0.0,0.0,12.0,shoredr01,8.3,88.3,96.6,0.0,-5.0,2014-15,7.7,7.7,22.0,22.0,1.0,10.4,1,63.9,36.1
432,ANA,24.0,24.0,22.0,2.0,2.0,37.0,955.0,1007.0,51.3,0.7,704.0,754.0,51.7,0.6,81.0,19.0,10.0,2.0,2.0,1.0,42.0,silfvja01,9.1,92.8,101.0,24.0,15.0,2014-15,6.9,6.9,334.0,334.0,41.0,15.4,1,50.6,49.4
437,NSH,24.0,24.0,25.0,3.0,0.0,21.0,1003.0,1045.0,51.0,2.6,751.0,801.0,51.6,2.4,79.0,49.0,17.0,4.0,7.0,0.0,54.0,smithcr01,9.5,92.3,101.0,22.0,16.0,2013-14,11.2,11.2,386.0,386.0,50.0,16.24,1,47.3,52.7
445,FLA,24.0,24.0,18.0,6.0,1.0,39.0,923.0,1021.0,52.5,4.9,740.0,778.0,51.3,2.8,82.0,31.0,20.0,3.0,5.0,0.0,85.0,smithre01,9.3,93.7,103.0,31.0,19.0,2015-16,14.5,14.5,299.0,299.0,51.0,18.37,1,52.7,47.3
452,DET,24.0,24.0,17.0,10.0,0.0,18.0,800.0,1186.0,59.7,8.8,642.0,858.0,57.2,7.0,82.0,40.0,20.0,7.0,9.0,0.0,90.0,tatarto01,8.8,90.9,99.7,28.0,6.0,2014-15,13.7,13.7,412.0,412.0,27.0,16.13,1,40.3,59.7
460,NYI,24.0,24.0,29.0,18.0,1.0,37.0,1290.0,1575.0,55.0,3.1,938.0,1147.0,55.0,1.3,82.0,109.0,25.0,8.0,13.0,0.0,48.0,tavarjo01,8.6,90.2,98.8,46.0,5.0,2014-15,13.7,13.7,471.0,471.0,94.0,20.4,1,30.4,69.6
470,BUF,24.0,24.0,2.0,0.0,0.0,22.0,419.0,248.0,37.2,-2.6,305.0,193.0,38.8,-2.9,28.0,14.0,3.0,0.0,0.0,0.0,30.0,varonph01,5.6,90.9,96.4,10.0,-14.0,2014-15,10.7,10.7,45.0,45.0,8.0,13.27,1,55.6,44.4
478,ANA,24.0,24.0,14.0,15.0,0.0,105.0,1041.0,1113.0,51.7,-1.2,749.0,825.0,52.4,-1.4,71.0,54.0,5.0,2.0,4.0,0.0,85.0,vatansa01,8.3,92.6,100.0,20.0,8.0,2015-16,6.4,6.4,298.0,298.0,34.0,21.19,1,48.9,51.1
482,VAN,24.0,24.0,9.0,2.0,0.0,9.0,521.0,425.0,44.9,-2.0,398.0,324.0,44.9,0.2,41.0,16.0,1.0,0.0,3.0,0.0,4.0,veyli01,5.2,91.8,97.1,6.0,-14.0,2015-16,10.0,10.0,75.0,75.0,16.0,15.45,1,54.0,46.0
489,COL,24.0,24.0,1.0,0.0,0.0,4.0,47.0,41.0,46.6,-0.7,33.0,32.0,49.2,2.4,7.0,2.0,0.0,0.0,0.0,0.0,5.0,vincoto01,4.2,91.7,95.8,2.0,-1.0,2014-15,0.0,0.0,6.0,6.0,1.0,7.1,1,36.6,63.4
498,FLA,24.0,24.0,0.0,0.0,0.0,4.0,204.0,208.0,50.5,0.0,157.0,161.0,50.6,0.4,29.0,2.0,0.0,0.0,0.0,0.0,75.0,wilsoga01,2.7,94.9,97.6,24.0,-3.0,2015-16,0.0,0.0,46.0,46.0,2.0,9.22,1,38.8,61.3
7,PIT,24.0,24.0,4.0,2.0,0.0,6.0,308.0,332.0,51.9,0.8,238.0,241.0,50.3,-1.4,33.0,10.0,5.0,0.0,1.0,0.0,65.0,bennebe01,8.7,90.6,99.4,10.0,-1.0,2015-16,11.5,11.5,93.0,93.0,5.0,11.54,1,47.9,52.1
10,NSH,24.0,24.0,0.0,0.0,0.0,3.0,79.0,71.0,47.3,-5.7,61.0,54.0,47.0,-5.3,7.0,3.0,0.0,0.0,0.0,0.0,9.0,bitetan01,2.6,94.9,97.4,7.0,-1.0,2014-15,0.0,0.0,7.0,7.0,1.0,11.47,1,39.1,60.9
17,FLA,24.0,24.0,0.0,0.0,0.0,1.0,38.0,52.0,57.8,4.7,30.0,33.0,52.4,1.7,4.0,1.0,0.0,0.0,0.0,0.0,6.0,bjugsni01,0.0,95.8,95.8,2.0,-1.0,2016-17,0.0,0.0,8.0,8.0,0.0,13.07,1,36.7,63.3
27,WPG,24.0,24.0,12.0,1.0,1.0,35.0,936.0,875.0,48.3,-4.3,682.0,644.0,48.6,-3.6,81.0,48.0,7.0,2.0,0.0,0.0,125.0,burmial01,6.2,92.0,98.2,32.0,-11.0,2015-16,6.9,6.9,204.0,204.0,36.0,16.1,1,48.8,51.2
34,VAN,24.0,24.0,2.0,0.0,0.0,5.0,116.0,109.0,48.4,-3.4,95.0,81.0,46.0,-5.4,11.0,2.0,0.0,0.0,0.0,0.0,18.0,chapumi01,4.8,88.2,93.0,4.0,-5.0,2016-17,0.0,0.0,15.0,15.0,1.0,11.03,1,60.9,39.1
42,WSH,24.0,24.0,1.0,0.0,0.0,1.0,111.0,135.0,54.9,3.7,90.0,101.0,52.9,2.7,13.0,1.0,1.0,0.0,1.0,0.0,28.0,connobr01,5.3,95.6,100.0,12.0,1.0,2016-17,11.1,11.1,27.0,27.0,5.0,10.48,1,37.7,62.3
47,MIN,24.0,24.0,7.0,0.0,0.0,18.0,281.0,343.0,55.0,7.8,217.0,257.0,54.2,7.1,22.0,11.0,5.0,2.0,3.0,0.0,25.0,coylech01,7.4,92.5,99.9,18.0,4.0,2016-17,15.1,15.1,75.0,75.0,12.0,18.08,1,49.4,50.6
49,TOT,24.0,24.0,4.0,0.0,0.0,31.0,467.0,353.0,43.0,-8.4,353.0,278.0,44.1,-6.5,51.0,2.0,2.0,0.0,0.0,1.0,107.0,cunnicr01,4.5,93.5,98.1,4.0,-7.0,2014-15,5.6,5.6,76.0,76.0,8.0,10.28,1,65.4,34.6
54,EDM,24.0,24.0,6.0,0.0,1.0,92.0,705.0,766.0,52.1,3.2,515.0,551.0,51.7,3.4,51.0,45.0,2.0,0.0,2.0,0.0,74.0,davidbr01,7.8,93.0,100.0,20.0,7.0,2015-16,6.3,6.3,166.0,166.0,19.0,19.12,1,50.7,49.3
