,TOT,age_x,age_y,assists_ev,assists_pp,assists_sh,blocks,corsi_against,corsi_for,corsi_pct,corsi_rel_pct,fenwick_against,fenwick_for,fenwick_pct,fenwick_rel_pct,games_played,giveaways,goals_ev,goals_gw,goals_pp,goals_sh,hits,index_x,index_y,name,on_ice_shot_pct,on_ice_sv_pct,pdo,pen_min,plus_minus,season,shot_pct,shot_pct.1,shots_attempted,shots_attempted.1,takeaways,time_on_ice_avg,uniqueseason,zs_defense_pct,zs_offense_pct
167,STL,27.0,27.0,4.0,0.0,0.0,7.0,128.0,158.0,55.2,6.0,93.0,119.0,56.1,6.8,20.0,1.0,2.0,0.0,0.0,0.0,22.0,,,crackad01,7.1,95.2,102.0,4.0,3.0,2012-13,9.5,9.5,39.0,39.0,6.0,8.37,1,53.2,46.8
179,MIN,27.0,27.0,0.0,0.0,0.0,0.0,7.0,13.0,65.0,9.4,6.0,9.0,60.0,2.7,2.0,1.0,0.0,0.0,0.0,0.0,2.0,,,dowelja01,0.0,100.0,100.0,0.0,0.0,2012-13,0.0,0.0,4.0,4.0,0.0,8.33,1,66.7,33.3
188,CBJ,27.0,27.0,26.0,6.0,2.0,37.0,952.0,1023.0,51.8,0.2,718.0,759.0,51.4,-0.2,76.0,19.0,10.0,2.0,4.0,2.0,234.0,,,dubinbr01,8.7,92.1,100.0,98.0,5.0,2013-14,8.5,8.5,339.0,339.0,32.0,18.47,1,53.6,46.4
204,VAN,27.0,27.0,7.0,8.0,0.0,136.0,1070.0,1195.0,52.8,-2.4,778.0,849.0,52.2,-2.5,63.0,34.0,3.0,0.0,4.0,0.0,112.0,,,edleral01,3.6,89.8,93.4,50.0,-39.0,2013-14,3.9,3.9,373.0,373.0,28.0,23.17,1,48.1,51.9
210,MTL,27.0,27.0,12.0,2.0,0.0,127.0,1089.0,854.0,44.0,-3.5,768.0,634.0,45.2,-3.1,59.0,44.0,2.0,0.0,1.0,0.0,189.0,,,emelial01,8.2,93.4,101.0,59.0,-1.0,2013-14,5.2,5.2,135.0,135.0,7.0,19.15,1,60.2,39.8
220,ANA,27.0,27.0,4.0,1.0,0.0,46.0,425.0,393.0,48.0,-0.6,290.0,302.0,51.0,3.3,34.0,8.0,0.0,0.0,0.0,0.0,145.0,,,fistrma01,10.9,92.5,103.0,28.0,9.0,2013-14,0.0,0.0,45.0,45.0,5.0,15.24,1,49.7,50.3
246,DAL,27.0,27.0,12.0,11.0,1.0,66.0,773.0,811.0,51.2,4.8,603.0,580.0,49.0,3.0,47.0,38.0,3.0,0.0,0.0,0.0,56.0,,,goligal01,11.1,90.9,102.0,18.0,4.0,2012-13,3.8,3.8,202.0,202.0,5.0,22.23,1,47.2,52.8
255,VAN,27.0,27.0,0.0,0.0,0.0,1.0,40.0,39.0,49.4,-7.2,30.0,28.0,48.3,-9.3,6.0,2.0,0.0,0.0,0.0,0.0,4.0,,,gordoan01,0.0,95.8,95.8,0.0,-1.0,2012-13,0.0,0.0,5.0,5.0,1.0,8.25,1,63.6,36.4
260,TOR,27.0,27.0,24.0,5.0,0.0,25.0,1164.0,1373.0,54.1,6.4,872.0,973.0,52.7,5.8,81.0,45.0,19.0,4.0,10.0,0.0,44.0,,,grabomi01,9.7,91.8,101.0,60.0,14.0,2010-11,12.1,12.1,428.0,428.0,49.0,19.22,1,49.7,50.3
275,WSH,27.0,27.0,4.0,10.0,0.0,61.0,655.0,623.0,48.7,-3.4,486.0,458.0,48.5,-3.0,35.0,25.0,8.0,2.0,4.0,0.0,36.0,,,greenmi03,7.4,92.6,99.9,20.0,-3.0,2012-13,12.5,12.5,200.0,200.0,14.0,24.51,1,52.8,47.2
285,TOT,27.0,27.0,11.0,0.0,0.0,152.0,1237.0,994.0,44.6,-8.9,874.0,765.0,46.7,-7.4,74.0,32.0,0.0,0.0,0.0,0.0,164.0,,,grossni01,8.7,92.1,100.0,36.0,5.0,2011-12,0.0,0.0,135.0,135.0,8.0,18.49,1,56.3,43.7
299,VAN,27.0,27.0,8.0,1.0,0.0,22.0,877.0,943.0,51.8,-0.9,636.0,674.0,51.5,-1.1,71.0,14.0,10.0,3.0,0.0,1.0,99.0,,,hanseja01,6.1,91.5,97.6,43.0,-9.0,2013-14,9.8,9.8,209.0,209.0,28.0,15.4,1,53.0,47.0
310,COL,27.0,27.0,6.0,0.0,0.0,59.0,729.0,683.0,48.4,-0.2,526.0,500.0,48.7,-0.3,43.0,22.0,0.0,0.0,0.0,0.0,40.0,,,hunwima01,8.3,92.4,100.0,16.0,4.0,2012-13,0.0,0.0,112.0,112.0,30.0,21.31,1,52.0,48.0
318,PHX,27.0,27.0,2.0,0.0,0.0,1.0,132.0,163.0,55.3,1.2,100.0,123.0,55.2,0.1,17.0,1.0,3.0,1.0,1.0,0.0,13.0,,,johnsni01,8.2,94.3,102.0,0.0,3.0,2012-13,17.4,17.4,37.0,37.0,6.0,9.57,1,41.5,58.5
