,season,TOT,age,corsi_for,corsi_against,corsi_pct,corsi_rel_pct,fenwick_for,fenwick_against,fenwick_pct,fenwick_rel_pct,on_ice_shot_pct,on_ice_sv_pct,pdo,zs_offense_pct,zs_defense_pct,name
6,2010-11,MIN,34.0,814.0,1040.0,43.9,-2.8,603.0,804.0,42.9,-3.7,7.6,91.8,99.4,42.1,57.9,cullema01
7,2011-12,MIN,35.0,930.0,1025.0,47.6,3.3,690.0,760.0,47.6,2.3,7.2,91.1,98.3,43.9,56.1,cullema01
8,2012-13,MIN,36.0,464.0,500.0,48.1,-4.4,347.0,377.0,47.9,-5.9,12.6,91.8,104.0,43.4,56.6,cullema01
9,2013-14,NSH,37.0,920.0,897.0,50.6,2.3,691.0,679.0,50.4,1.4,9.0,90.7,99.7,48.0,52.0,cullema01
10,2014-15,NSH,38.0,704.0,625.0,53.0,-0.5,537.0,458.0,54.0,0.6,8.4,92.9,101.0,54.4,45.6,cullema01
11,2015-16,PIT,39.0,793.0,840.0,48.6,-5.4,601.0,617.0,49.3,-4.5,7.7,92.2,99.8,36.0,64.0,cullema01
12,2016-17,PIT,40.0,257.0,242.0,51.5,-0.2,198.0,163.0,54.8,2.1,7.5,90.2,97.6,34.0,66.0,cullema01
1,2007-08,TOR,29.0,619.0,605.0,50.6,-0.3,483.0,461.0,51.2,0.0,7.7,89.6,97.3,47.3,52.7,deverbo01
2,2008-09,TOR,30.0,240.0,287.0,45.5,-5.7,184.0,200.0,47.9,-2.3,8.2,91.1,99.3,50.7,49.3,deverbo01
1,2007-08,NSH,29.0,1090.0,1024.0,51.6,0.8,850.0,808.0,51.3,0.8,10.8,90.6,101.0,52.9,47.1,dumonjp01
2,2008-09,NSH,30.0,1082.0,1055.0,50.6,1.6,821.0,824.0,49.9,0.1,10.6,90.5,101.0,55.6,44.4,dumonjp01
3,2009-10,NSH,31.0,848.0,814.0,51.0,-2.6,631.0,615.0,50.6,-2.8,9.2,92.5,101.0,53.9,46.1,dumonjp01
